date,cases
2020-01-24,3.0
2020-01-27,3.0
2020-01-28,4.0
2020-01-29,5.0
2020-01-30,6.0
2020-01-31,6.0
2020-02-02,6.0
2020-02-03,6.0
2020-02-04,6.0
2020-02-05,6.0
2020-02-07,6.0
2020-02-08,11.0
2020-02-09,11.0
2020-02-10,11.0
2020-02-12,11.0
2020-02-13,11.0
2020-02-15,12.0
2020-02-17,12.0
2020-02-19,12.0
2020-02-21,12.0
2020-02-23,12.0
2020-02-24,12.0
2020-02-25,14.0
2020-02-26,18.0
2020-02-27,38.0
2020-02-28,57.0
2020-02-29,100.0
2020-03-01,130.0
2020-03-02,191.0
2020-03-03,212.0
2020-03-04,285.0
2020-03-05,423.0
2020-03-06,613.0
2020-03-07,949.0
2020-03-09,1412.0
2020-03-10,1784.0
2020-03-11,2281.0
2020-03-12,2876.0
2020-03-14,4500.0
2020-03-15,5423.0
2020-03-17,7730.0
2020-03-18,9134.0
2020-03-19,10995.0
2020-03-20,12612.0
2020-03-21,14459.0
2020-03-22,16689.0
2020-03-23,19856.0
2020-03-24,22302.0
2020-03-25,25233.0
2020-03-26,29155.0
2020-03-27,32964.0
2020-03-28,37575.0
2020-03-29,40174.0
2020-03-30,44550.0
2020-03-31,52128.0
2020-04-01,56989.0
2020-04-02,59105.0
2020-04-03,64338.0
2020-04-04,68605.0
2020-04-05,70478.0
2020-04-06,74390.0
2020-04-07,78167.0
2020-04-08,82048.0
2020-04-09,86334.0
2020-04-10,90676.0
2020-04-11,93790.0
2020-04-12,95403.0
2020-04-13,98076.0
2020-04-14,103573.0
2020-04-15,106206.0
2020-04-16,108847.0
2020-04-17,109252.0
2020-04-18,111821.0
2020-04-19,112606.0
2020-04-20,114657.0
2020-04-21,117324.0
2020-04-22,119151.0
2020-04-23,120804.0
2020-04-24,122577.0
2020-04-25,124114.0
2020-04-26,124575.0
2020-04-27,128339.0
2020-04-28,129859.0
2020-04-29,128442.0
2020-04-30,129581.0
2020-05-01,130185.0
2020-05-02,130979.0
2020-05-03,131287.0
2020-05-04,131863.0
2020-05-05,132967.0
2020-05-06,137150.0
2020-05-07,137779.0
2020-05-08,138421.0
2020-05-09,138854.0
2020-05-10,139063.0
2020-05-11,139519.0
2020-05-12,140227.0
2020-05-13,140734.0
2020-05-14,141356.0
2020-05-15,141919.0
2020-05-16,142291.0
2020-05-17,142411.0
2020-05-18,142903.0
2020-05-19,143427.0
2020-05-20,143845.0
2020-05-21,144163.0
2020-05-22,144556.0
2020-05-23,144806.0
2020-05-24,144921.0
2020-05-25,145279.0
2020-05-26,145555.0
2020-05-27,145746.0
2020-05-28,149071.0
2020-05-29,149668.0
2020-05-30,151496.0
2020-05-31,151753.0
2020-06-01,152091.0
2020-06-02,151325.0
2020-06-03,151677.0
2020-06-04,152444.0
2020-06-05,153055.0
2020-06-06,153634.0
2020-06-07,153977.0
2020-06-08,154188.0
